Initial Data;Final Date;Days;City;State;Latitude;Longitude
16/11/2023;25/2/2024;101;Curitiba;PR;-25.4284;-49.2733
25/2/2024;2/3/2024;6;Taubaté;SP;-23.0266;-45.5553
2/3/2024;26/5/2024;85;Florianópolis;SC;-27.5954;-48.5480
26/5/2024;31/5/2024;5;Taubaté;SP;-23.0266;-45.5553
13/6/2024;22/6/2024;9;Taubaté;SP;-23.0266;-45.5553
22/6/2024;18/8/2024;57;Vila Velha;ES;-20.3297;-40.2925
18/8/2024;21/8/2024;3;Taubaté;SP;-23.0266;-45.5553
3/9/2024;14/9/2024;11;Taubaté;SP;-23.0266;-45.5553
14/9/2024;7/12/2024;84;Balneário Camboriú;SC;-26.9929;-48.6356
7/12/2024;8/3/2025;91;Curitiba;PR;-25.4284;-49.2733
8/3/2025;15/3/2025;7;Taubaté;SP;-23.0266;-45.5553
15/3/2025;10/5/2025;56;Vitória;ES;-20.3155;-40.3128
10/5/2025;21/5/2025;11;Taubaté;SP;-23.0266;-45.5553
5/6/2025;14/6/2025;9;Taubaté;SP;-23.0266;-45.5553
14/6/2025;12/7/2025;28;João Pessoa;PB;-7.1195;-34.8450
12/7/2025;4/8/2025;23;Taubaté;SP;-23.0266;-45.5553
4/8/2025;29/9/2025;56;Maceió;AL;-9.6498;-35.7089
29/9/2025;27/10/2025;28;João Pessoa;PB;-7.1195;-34.8450
27/10/2025;24/11/2025;28;Natal;RN;-5.7945;-35.2110
24/11/2025;15/12/2025;21;João Pessoa;PB;-7.1195;-34.8450
15/12/2025;13/1/2026;29;Taubaté;SP;-23.0266;-45.5553
13/1/2026;10/3/2026;56;Goiânia;GO;-16.6869;-49.2648
10/3/2026;7/4/2026;28;Santos;SP;-23.9608;-46.3336
7/4/2026;11/4/2026;4;Taubaté;SP;-23.0266;-45.5553
26/4/2026;2/6/2026;37;Taubaté;SP;-23.0266;-45.5553
2/6/2026;1/7/2026;29;Campo Grande;MS;-20.4697;-54.6201
1/7/2026;29/7/2026;28;Vila Velha;ES;-20.3297;-40.2925
